text_id,x_pca_tfidf,y_pca_tfidf,x_tsne_tfidf,y_tsne_tfidf,x_pca_openai_ada_002,y_pca_openai_ada_002,x_tsne_openai_ada_002,y_tsne_openai_ada_002,x_pca_openai_3_small,y_pca_openai_3_small,x_tsne_openai_3_small,y_tsne_openai_3_small,author_id,year,author
64,0.08400595240425918,0.4250054340450355,0.1678221,0.4754596,0.03849326976422335,0.6279880313297538,0.27509683,0.8087001,0.055144351078705856,0.6228716431843521,0.8141948,0.51517564,13,1854,Franklin Pierce
65,0.041597087425900514,0.43267301726219703,0.23308817,0.4253367,0.06361778455252987,0.6320086319947766,0.4707548,0.91871357,0.04792317778063804,0.6313391040022689,0.84077215,0.59206545,13,1855,Franklin Pierce
66,0.046621755369614215,0.43979191740320545,0.23317939,0.42780632,0.08055289185309056,0.5774535655863933,0.4686516,0.91661483,0.09029842694370571,0.5897267690778132,0.83650064,0.591044,13,1856,Franklin Pierce
67,0.12966928044836218,0.41419843219629715,0.19431317,0.5918608,0.10017623853498753,0.4994618966788804,0.42310548,0.9191241,0.06611054755130996,0.5158113183519274,0.8263029,0.56592983,14,1857,James Buchanan
68,0.10852251674573282,0.4090420196467228,0.19836107,0.59762037,0.07252672363985674,0.559573185597557,0.4304418,0.93698657,0.04362529096880435,0.5520208552840341,0.81702715,0.5586478,14,1858,James Buchanan
69,0.11027046106179028,0.4019603799441424,0.20428315,0.6082741,0.06434729570381004,0.5829913469299471,0.43413743,0.94342077,0.05980060806566512,0.5885859140339542,0.8107705,0.55696267,14,1859,James Buchanan
70,0.09677848329665117,0.4078020245567086,0.19717556,0.6058905,0.10120204817494244,0.5698144242077563,0.44984844,0.90866613,0.09527716789616636,0.5978662308046768,0.82318664,0.58945495,14,1860,James Buchanan
71,0.13883180678687473,0.45900739859560347,0.21452719,0.52212846,0.20754129221281287,0.5001292761146672,0.41027358,0.8261919,0.15179266214214016,0.5284001473261943,0.7689143,0.5995697,15,1861,Abraham Lincoln
72,0.23445940901513318,0.43723857942583755,0.29905224,0.396157,0.20200833212767877,0.49397355215120414,0.36558092,0.83000016,0.18016991206662558,0.5385999390073127,0.75275195,0.61237365,15,1862,Abraham Lincoln
73,0.1042482669899345,0.4484828417083942,0.2765262,0.43434805,0.12739976460543623,0.520069269339323,0.3901747,0.8338146,0.10675654374820581,0.5394284046916599,0.7585058,0.5879798,15,1863,Abraham Lincoln
74,0.14028590546750513,0.46405175901658674,0.28697106,0.42201388,0.20019536517129677,0.5223739458659001,0.38951966,0.832453,0.15979600919849168,0.5414487652150993,0.7557597,0.5876196,15,1864,Abraham Lincoln
75,0.12391441501678829,0.46418513423237573,0.23558843,0.45473862,0.1935957459149184,0.5082953744964683,0.4577619,0.8702575,0.246522816133591,0.5867113629086089,0.8019538,0.6148095,16,1865,Andrew Johnson
76,0.04884338112774078,0.4735631350433241,0.2550676,0.4607853,0.09637083718865541,0.5281640979226616,0.4194736,0.8630434,0.11001151126873898,0.5613659397549511,0.7755271,0.5828489,16,1866,Andrew Johnson
77,0.14938046203340477,0.4467155916829728,0.22323877,0.4713846,0.154169859255465,0.43634864832085707,0.45190436,0.8759026,0.18455454403635507,0.5084283665000597,0.806362,0.6098368,16,1867,Andrew Johnson
78,0.08549999162091215,0.5036049491614383,0.31857008,0.45876002,0.15211681917312447,0.3984341526145765,0.45553392,0.80996144,0.1409803204789299,0.43315011745824394,0.7543333,0.5486901,16,1868,Andrew Johnson
79,0.069091165650705,0.45635085958106164,0.25352418,0.52829206,0.14395400241211226,0.47847451384159684,0.36687726,0.79569054,0.10461771604902359,0.4611912017291081,0.7502831,0.531093,17,1869,Ulysses S. Grant
80,0.0739008715435358,0.45330368847081903,0.25010753,0.5007962,0.10133554689505853,0.5268401669475593,0.3053054,0.7839949,0.06851872779681639,0.49722299218857996,0.77359056,0.51942843,17,1870,Ulysses S. Grant
81,0.0519707741117903,0.449159936039046,0.24335214,0.54727775,0.19355392886196632,0.4926546851656331,0.37843966,0.7571411,0.12649769658647542,0.43804152273997055,0.70630586,0.5257497,17,1871,Ulysses S. Grant
82,0.027498600941500695,0.4830557132295676,0.26659304,0.55325824,0.1610826424119644,0.46285864693649287,0.3556494,0.73683023,0.06758816294038994,0.41596033324374415,0.7051258,0.5436086,17,1872,Ulysses S. Grant
83,0.07231769777889785,0.47919081858832224,0.2589683,0.5604452,0.18078067116072766,0.41286681160183014,0.38332883,0.77612185,0.09874580716275516,0.37921581800305504,0.7241503,0.5311032,17,1873,Ulysses S. Grant
84,0.0959600463283537,0.46985753855338525,0.24829587,0.57346493,0.16004208526818997,0.38401935134442144,0.40922022,0.79174817,0.14605056306361414,0.37671501206106506,0.7338321,0.51789254,17,1874,Ulysses S. Grant
85,0.08542556458116812,0.47778308744000086,0.23860404,0.5068898,0.15901475804082987,0.5105466307296675,0.34045276,0.7786564,0.09844318815732317,0.4907968094307115,0.754707,0.5151461,17,1875,Ulysses S. Grant
86,0.03461397829098467,0.4720668191242604,0.2697655,0.58366346,0.16739503729659488,0.4802152819823903,0.35550404,0.7540939,0.08261394045057746,0.44537026021599857,0.71789545,0.5487764,17,1876,Ulysses S. Grant
87,0.058236924344382546,0.51338696915688,0.28034693,0.5326293,0.17072009680182282,0.362275240786339,0.43095088,0.7834726,0.14230960118739994,0.37103160923828654,0.727229,0.50325227,18,1877,Rutherford B. Hayes
88,0.045992256989667246,0.5064771523986641,0.2871433,0.5246632,0.18769696194528346,0.3796500705046864,0.44156086,0.7499264,0.12674643357968896,0.35755115459782827,0.70958614,0.49141738,18,1878,Rutherford B. Hayes
