text_id,x_pca_tfidf,y_pca_tfidf,x_tsne_tfidf,y_tsne_tfidf,x_pca_openai_ada_002,y_pca_openai_ada_002,x_tsne_openai_ada_002,y_tsne_openai_ada_002,x_pca_openai_3_small,y_pca_openai_3_small,x_tsne_openai_3_small,y_tsne_openai_3_small,author_id,year,author
66,0.04662175537021679,0.43979184199597127,0.20617977,0.4961482,0.08055289185309361,0.5774535572104204,0.07812509,0.65737236,0.09029842694368573,0.5897267192407544,0.7779875,0.5830557,13,1856,Franklin Pierce
67,0.12966928044855747,0.4141979210209032,0.14659709,0.5460966,0.10017623853496538,0.4994618575943173,0.11558026,0.6443194,0.06611054755132367,0.5158113051485467,0.79426277,0.55730784,14,1857,James Buchanan
68,0.10852251674589508,0.4090413116585776,0.14192733,0.55254656,0.07252672363986257,0.5595731635364833,0.12583542,0.66452825,0.04362529096885309,0.5520208467057158,0.80558324,0.562649,14,1858,James Buchanan
69,0.11027046106263261,0.40195968300552803,0.1354402,0.5639732,0.06434729570382952,0.5829913329160201,0.12518814,0.66693974,0.05980060806574167,0.5885859096269691,0.81298274,0.5675596,14,1859,James Buchanan
70,0.09677848329701516,0.407801592670181,0.14003828,0.5588891,0.10120204817493417,0.5698144148692476,0.09096369,0.636684,0.09527716789610496,0.5978661780286095,0.7753027,0.57087404,14,1860,James Buchanan
71,0.13883180678827534,0.45900719354695063,0.22375986,0.44698742,0.2075412922128353,0.5001292691302516,0.23243958,0.60621786,0.15179266214211407,0.5284001134918423,0.70109683,0.53565836,15,1861,Abraham Lincoln
72,0.23445940901625095,0.4372393796205088,0.19210735,0.5608016,0.202008332127737,0.493973536932344,0.20492172,0.5744063,0.18016991206667365,0.5385999403788008,0.71005225,0.5573918,15,1862,Abraham Lincoln
73,0.1042482669914856,0.4484827775927405,0.23783156,0.4279881,0.12739976460548336,0.5200692694795555,0.20807892,0.6068748,0.10675654374825888,0.5394283931393486,0.7139529,0.52974474,15,1863,Abraham Lincoln
74,0.14028590546932546,0.46405234914290944,0.25597608,0.42288864,0.2001953651713449,0.5223739464986318,0.20915604,0.60425204,0.1597960091985587,0.5414487615686617,0.71456236,0.52894515,15,1864,Abraham Lincoln
75,0.12391441501774575,0.4641856038524501,0.2028819,0.52333593,0.19359574591495698,0.5082953678962,0.105648905,0.58892864,0.24652281613365906,0.5867113518031479,0.74333525,0.56234264,16,1865,Andrew Johnson
76,0.04884338112844899,0.47356325559189816,0.22497275,0.5185274,0.09637083718869754,0.5281641092934092,0.15870121,0.59972775,0.1100115112687618,0.5613659070610568,0.73107857,0.53399926,16,1866,Andrew Johnson
77,0.14938046203430372,0.44671604767548656,0.18243381,0.5367282,0.15416985925543636,0.4363486018424858,0.10061267,0.5987504,0.1845545440363513,0.5084283441132106,0.7504363,0.56117743,16,1867,Andrew Johnson
78,0.08549999162132538,0.5036056909092023,0.27776077,0.58897597,0.1521168191731227,0.3984340968662055,0.25401622,0.6983093,0.14098032047902403,0.4331501307857323,0.73656946,0.49456108,16,1868,Andrew Johnson
79,0.0690911656519324,0.45635077469557367,0.25994983,0.48802012,0.14395400241212436,0.4784744702994209,0.24358648,0.6751382,0.10461771604911219,0.4611912063768136,0.72997355,0.468836,17,1869,Ulysses S. Grant
80,0.0739008715445425,0.45330398741730066,0.24646595,0.47419983,0.10133554689507462,0.5268401378281207,0.21024665,0.68726265,0.06851872779689483,0.497222985335582,0.7486535,0.45404765,17,1870,Ulysses S. Grant
81,0.05197077411338924,0.44915963786172475,0.26754996,0.4656263,0.1935539288619798,0.49265464365472883,0.2699591,0.6322044,0.12649769658656485,0.43804152470070545,0.68927944,0.45695797,17,1871,Ulysses S. Grant
82,0.02749860094312051,0.4830559508163659,0.28492436,0.47776476,0.16108264241199716,0.46285862012494716,0.30661437,0.65951514,0.06758816294048836,0.4159603399613109,0.69945425,0.43535373,17,1872,Ulysses S. Grant
83,0.07231769778045388,0.4791906577304413,0.28463495,0.4642359,0.18078067116073093,0.412866771645017,0.27802193,0.66132987,0.09874580716283954,0.3792158204074059,0.7086704,0.45530427,17,1873,Ulysses S. Grant
84,0.09596004632957955,0.469857355156059,0.2867548,0.4458942,0.16004208526819808,0.38401930354665587,0.273857,0.6825787,0.14605056306371172,0.3767150191312156,0.7103596,0.48000708,17,1874,Ulysses S. Grant
85,0.08542556458217526,0.47778316422700906,0.23269656,0.47556362,0.15901475804082632,0.5105465770118183,0.23943967,0.6570982,0.09844318815743869,0.4907968225920396,0.7328251,0.430862,17,1875,Ulysses S. Grant
86,0.034613978292344305,0.47206672073316064,0.30821458,0.45101553,0.16739503729662525,0.48021525239701773,0.29099056,0.656019,0.08261394045067766,0.4453702629715865,0.70985746,0.44082195,17,1876,Ulysses S. Grant
87,0.058236924345512975,0.5133871099626489,0.27312535,0.5081672,0.17072009680184386,0.3622751837378667,0.28380036,0.7004699,0.14230960118753433,0.37103163836004216,0.6961483,0.483151,18,1877,Rutherford B. Hayes
88,0.04599225699111903,0.5064775770576468,0.27877435,0.51960313,0.18769696194531832,0.37965003035960915,0.28211096,0.58991575,0.12674643357983956,0.35755117765102196,0.668715,0.4849511,18,1878,Rutherford B. Hayes
89,0.04251579170623393,0.5177080234492846,0.2838648,0.50776744,0.17170691673457694,0.35527016511756127,0.2902891,0.6024174,0.11690726728346057,0.3123794335800767,0.6683341,0.47001833,18,1879,Rutherford B. Hayes
90,0.057817351236744696,0.5350319957833327,0.28685874,0.50862795,0.17765833627436278,0.4212701997294169,0.2866881,0.61468,0.12448050805144345,0.3763194379895498,0.6762208,0.46767136,18,1880,Rutherford B. Hayes
91,0.038407321754840795,0.49563088868884836,0.26695567,0.53885084,0.2315722576362076,0.43120447248121435,0.3235004,0.63375807,0.1111257721352164,0.3655806571123735,0.6626787,0.44005802,20,1881,Chester A. Arthur
92,0.047516711137393364,0.4836688025088531,0.25703555,0.54404116,0.21937654296846026,0.4118862047176777,0.33446172,0.64122736,0.11595847254498887,0.3454651052112908,0.64428914,0.44783488,20,1882,Chester A. Arthur
93,0.044672065671930605,0.4942429345986872,0.25414976,0.560766,0.17925341553212137,0.450275131571188,0.32871628,0.6538551,0.07823050165585049,0.3734093071185073,0.6484132,0.43431917,20,1883,Chester A. Arthur
94,0.04498366046744179,0.5160425941164549,0.26822287,0.5585079,0.203435198713661,0.4837181417507634,0.3387643,0.6607336,0.10476336582401602,0.4091824047063477,0.64350426,0.42927876,20,1884,Chester A. Arthur
95,0.06783633200627887,0.5112319703009598,0.29784757,0.5334081,0.19264795936472767,0.4322540238849925,0.3099562,0.6296712,0.10613407194920049,0.37950980412806934,0.66883755,0.43155098,21,1885,Grover Cleveland
96,0.07713810530454485,0.5344239225756927,0.29615974,0.5390497,0.2071156808821098,0.3762041938273611,0.3160013,0.6174624,0.13275918568739914,0.33095096517560585,0.6744004,0.43255898,21,1886,Grover Cleveland
97,0.17793032511208395,0.5195522476410299,0.28910387,0.62449515,0.2720167578253801,0.1677340816671204,0.47555426,0.53535455,0.28710441162218014,0.2538610246392675,0.5565255,0.5068595,21,1887,Grover Cleveland
98,0.09405312787427494,0.5172987907867712,0.29633597,0.5449177,0.23412088102953227,0.39416799404099734,0.32289413,0.6121835,0.1401823847421491,0.35139424092418875,0.67813796,0.4301689,21,1888,Grover Cleveland
99,0.10086959306188492,0.5229936764378474,0.32142186,0.5329013,0.19048958955138529,0.42279468563327655,0.29255322,0.6262286,0.12429983599184685,0.36735879110280645,0.6724709,0.45366794,22,1889,Benjamin Harrison
100,0.10874503563602422,0.5111809742259429,0.34777325,0.55155087,0.16084848623791825,0.374254065950812,0.35973093,0.5964657,0.11119977950383503,0.33166262673529306,0.6403309,0.40501708,22,1890,Benjamin Harrison
101,0.08562633759660765,0.5048804734684708,0.3406826,0.55213475,0.16220359543599583,0.4187773604389232,0.34736443,0.6081763,0.09202782356109823,0.3785744080118597,0.6545715,0.4074732,22,1891,Benjamin Harrison
102,0.1286415723127487,0.5440675868875099,0.3518872,0.56596434,0.1801599248867496,0.3778007548153486,0.3900722,0.6038941,0.12196687911303988,0.34300350137381846,0.6447573,0.39000338,22,1892,Benjamin Harrison
103,0.07150801751930053,0.5128641328652099,0.31686598,0.5592622,0.23754261441320684,0.43495667116246495,0.3562414,0.6320195,0.11822772022200134,0.35157669769004246,0.67206645,0.40814945,21,1893,Grover Cleveland
104,0.06539765868792025,0.5362752558922902,0.31238228,0.5618624,0.20939788032963802,0.38237151160452904,0.36532417,0.6291084,0.09408746097429449,0.31893748728088234,0.6720238,0.4032532,21,1894,Grover Cleveland
105,0.1400778518689893,0.49499086100506395,0.31884575,0.59881794,0.18626607098733416,0.4191169255351327,0.40942773,0.6629173,0.12050351561286005,0.41038889301325143,0.66673726,0.36414135,21,1895,Grover Cleveland
106,0.13706070718724023,0.5204191658307228,0.30802035,0.57773733,0.24179132104445167,0.40238634672337625,0.3775733,0.6365282,0.14931057447434876,0.3672605749231751,0.6882113,0.40252253,21,1896,Grover Cleveland
107,0.07750273558326437,0.5074187051424481,0.32121515,0.4753104,0.1717771504580322,0.5240344137992745,0.3402529,0.7104236,0.1077985340299415,0.47635932731666975,0.7251969,0.3842457,23,1897,William McKinley
108,0.039911383445214166,0.4740025009930713,0.31669408,0.49072435,0.1323495015259356,0.6564656786287744,0.37002152,0.7128193,0.059528750826411514,0.5836230352322112,0.7235973,0.36604995,23,1898,William McKinley
109,0.06991803532095014,0.516152637223057,0.31242228,0.49527925,0.16914424698155567,0.5336958313931794,0.35606062,0.6989021,0.10544188177649694,0.4579171572986054,0.7132031,0.37379813,23,1899,William McKinley
110,0.0638635562813899,0.5330968343835805,0.3194325,0.50477034,0.20558998804003936,0.5500673468117366,0.36859256,0.6882302,0.1145982822318895,0.47318009968597785,0.703557,0.36743778,23,1900,William McKinley
111,0.250538976990206,0.5456273318291506,0.48689756,0.51047254,0.33741856462550457,0.4314894146209447,0.3734157,0.4325214,0.30398599167060036,0.40369864952712725,0.5036394,0.44881764,24,1901,Theodore Roosevelt
112,0.24623545289310295,0.55063254554141,0.477892,0.5267555,0.31816222593550497,0.348509970621561,0.37831306,0.4332863,0.31544102895269205,0.339216175874023,0.50227183,0.44754004,24,1902,Theodore Roosevelt
113,0.10209652338397351,0.5198858092429306,0.34754983,0.48560122,0.13605466674878858,0.47657964082874693,0.2952716,0.5383592,0.13176615295095795,0.4312314738192675,0.5993351,0.39882046,24,1903,Theodore Roosevelt
114,0.24067767956921038,0.5528963262352263,0.48330694,0.5030553,0.3074823476879699,0.3630074697444091,0.36412203,0.4454187,0.3032111411612769,0.34623890632965226,0.5145754,0.43699914,24,1904,Theodore Roosevelt
115,0.21981665959242153,0.5395141852385266,0.47148818,0.5124679,0.23938806984087535,0.33662319648017985,0.37174594,0.455128,0.24800560694715296,0.32779165272293265,0.51981646,0.44405922,24,1905,Theodore Roosevelt
116,0.2199125273461623,0.5129138719608006,0.47307128,0.50019664,0.28144068509137155,0.4116718908967997,0.3618691,0.45998335,0.29127356863450304,0.4021306128436191,0.5283195,0.4398465,24,1906,Theodore Roosevelt
117,0.19643075923517261,0.5451773250184881,0.46429974,0.50964355,0.27144376688474414,0.2724368561912627,0.38679248,0.45740655,0.2663437484204053,0.2759042240652557,0.5193514,0.45502925,24,1907,Theodore Roosevelt
118,0.219377490036895,0.5320936503552148,0.46642694,0.4957434,0.3290558092848721,0.2779501870023293,0.38001564,0.47287133,0.32709140649875457,0.29478672657314875,0.52996504,0.45604175,24,1908,Theodore Roosevelt
119,0.07378673537858665,0.538409700519508,0.35848954,0.509391,0.19504096782788033,0.3706315001219044,0.331261,0.5635336,0.14274097771420996,0.3072006059791813,0.6116703,0.4262096,25,1909,William Howard Taft
120,0.07493709963210987,0.5326032288454245,0.34871727,0.51088405,0.21915541072732253,0.29692270482999383,0.34598166,0.5614079,0.15283219005243076,0.24396850887483595,0.613409,0.4409555,25,1910,William Howard Taft
121,0.08120989356525227,0.5294243475191345,0.35062456,0.5137371,0.20745264054489115,0.34313936870625356,0.36086076,0.5598109,0.1417822004897899,0.28643265588766925,0.6026569,0.43961388,25,1911,William Howard Taft
122,0.10034119692270549,0.5587086811145506,0.34234294,0.50480866,0.22349303103113594,0.4006076363029504,0.3229754,0.55315316,0.19896959813244658,0.34944233068468133,0.60498196,0.41713062,25,1912,William Howard Taft
123,0.30705265958722827,0.5211390822811264,0.50900644,0.5195148,0.31156500685024346,0.38161567284577125,0.33833838,0.4177671,0.327743458733658,0.38101314624261573,0.4976387,0.42123485,26,1913,Woodrow Wilson
124,0.5610996857865025,0.49223313566278487,0.5505098,0.5172708,0.4044355790885731,0.537048769004065,0.36862472,0.3589439,0.4233274901029543,0.5344580827783414,0.5155498,0.53459406,26,1914,Woodrow Wilson
125,0.4143017112716617,0.5107870974251605,0.53803337,0.5099198,0.3333117859197877,0.5161573958849979,0.37051275,0.36010975,0.34716396951375517,0.5314031560795679,0.51572555,0.53518915,26,1915,Woodrow Wilson
126,0.15065262357396775,0.5023642922484287,0.39977905,0.50402594,0.28416037231575497,0.24567590103239362,0.40626338,0.53363293,0.2447189768452065,0.2540782384710283,0.58673203,0.46506014,26,1916,Woodrow Wilson
127,0.4187295000109266,0.5062762929217749,0.5428918,0.4871555,0.4321972132232386,0.706282781307121,0.5741646,0.18407091,0.45020456941628323,0.7055263743236907,0.34406725,0.6248596,26,1917,Woodrow Wilson
128,0.3243115504859849,0.4508015691854868,0.5271702,0.4957058,0.3371715419181155,0.47786716561667136,0.39392796,0.36640027,0.35751051837925024,0.5103844925440262,0.50523263,0.5461274,26,1918,Woodrow Wilson
129,0.25464811433879925,0.6079993211135912,0.43979698,0.5112885,0.399740777705783,0.2609899938389962,0.4418085,0.40127152,0.4247158007820476,0.2838336185644263,0.4490366,0.44129434,26,1919,Woodrow Wilson
130,0.17704204914837862,0.5301959487251753,0.35722932,0.44621322,0.40076729470950656,0.28791194686528554,0.49316713,0.41693693,0.40550169318594104,0.3146178588818521,0.43610325,0.48154452,26,1920,Woodrow Wilson
131,0.3650635935833122,0.5977267897647714,0.4970643,0.5721057,0.39485904960566215,0.26311301697441214,0.45042372,0.42087603,0.4061789426721766,0.3003732250589589,0.45536193,0.45873755,27,1921,Warren G. Harding
132,0.33126279428917293,0.5971949103887434,0.5004388,0.5689752,0.40813340890116845,0.2845081917559428,0.43797222,0.43215388,0.3914918881754325,0.2912207146669533,0.466412,0.45360318,27,1922,Warren G. Harding
133,0.2771542756512493,0.6247604413387511,0.45451143,0.56805354,0.40283162233928144,0.26634442131347186,0.46148616,0.44516268,0.36390791444433396,0.252753959006249,0.4690756,0.47611097,28,1923,Calvin Coolidge
134,0.2668058571991444,0.6452508359625926,0.46153742,0.5844226,0.39475873325272304,0.24686079070992606,0.47396645,0.43835327,0.39039135151127036,0.24103039369939921,0.45684913,0.48098755,28,1924,Calvin Coolidge
135,0.2707662820229937,0.5942241594288226,0.45218012,0.5876371,0.37446868744638606,0.2698613958165662,0.47211313,0.4533245,0.3395496456520636,0.26866952844136516,0.46907276,0.48673126,28,1925,Calvin Coolidge
136,0.2893174082565664,0.609551491314096,0.45240614,0.5884571,0.36198185754124323,0.24041645075581486,0.4834028,0.4531237,0.3542660263889025,0.2434449360783013,0.45881233,0.49066937,28,1926,Calvin Coolidge
137,0.27076104300951637,0.6063301508484591,0.43841606,0.5971566,0.3667835847292027,0.2640664071340947,0.4965933,0.46852413,0.32640178016041044,0.2483764109434219,0.45974222,0.506497,28,1927,Calvin Coolidge
138,0.2587035484478837,0.625654437079704,0.4312331,0.59977204,0.39078770910293165,0.2748989339972395,0.49329808,0.46998394,0.33730684725827126,0.230702320126545,0.4619528,0.50744325,28,1928,Calvin Coolidge
139,0.1808211469919117,0.6525319992822907,0.39483184,0.6071645,0.3758489866563162,0.21970645976531916,0.47030914,0.47711825,0.3363934127458774,0.17839826552043564,0.4782461,0.49999204,29,1929,Herbert Hoover
140,0.20931620913420834,0.7006411018593224,0.38367102,0.6125794,0.45445724035285445,0.13006039696261473,0.55550563,0.43697426,0.4215816478578097,0.11221164802976707,0.41238165,0.51862663,29,1930,Herbert Hoover
141,0.2654313447307691,0.714195573051593,0.39069173,0.64018506,0.463977013711752,0.12045468484695143,0.56081104,0.4236653,0.4666371227043455,0.15468837686063913,0.40377605,0.51221025,29,1931,Herbert Hoover
142,0.2869450418822388,0.7396484775689873,0.39123154,0.64256424,0.5031523070516293,0.12045896862533789,0.56283516,0.42017895,0.5039721878973249,0.15297773473481108,0.4009656,0.51084995,29,1932,Herbert Hoover
143,0.3896400318859394,0.5972193018909568,0.48504633,0.42506802,0.56665141250274,0.29147070871936825,0.57936823,0.35094118,0.571247174520464,0.28169223791145614,0.36866164,0.4833799,30,1934,Franklin Delano Roosevelt
144,0.42931463489936283,0.6564720881305308,0.48595735,0.4247671,0.6070739296870761,0.22668888574423057,0.5880458,0.35702807,0.6044148987739748,0.22965703002739563,0.36378676,0.49437466,30,1935,Franklin Delano Roosevelt
145,0.38895795756630863,0.5332093225361151,0.5041386,0.45915475,0.5860304601974308,0.5577432119182136,0.6001061,0.21867517,0.588623540254039,0.5601684988370352,0.3313513,0.59506434,30,1936,Franklin Delano Roosevelt
